free_text,label_id
"As of March 13th , 2014 , the booklet had been downloaded over 18,300 times and counting .",0
"In order to help increase the booklets downloads , it would be great if all Stormfronters who had YouTube accounts , could display the following text in the description boxes of their uploaded YouTube videos .",0
( Simply copy and paste the following text into your YouTube videos description boxes. ),0
Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,1
Click on the `` DOWNLOAD ( 7.42 MB ) '' green banner link .,0
"Booklet updated on Feb. 14th , 2014 .",0
"( Now with over 18,300 Downloads. )",0
PDF file : http://www.mediafire.com/download/7p3p3goadvvqvsf/WNDebateBooklet_2-14-14.pdfMSWordfile:http://www.mediafire.com/download/psezkkk4d6a3wt1/WNDebateBooklet _ 2-14-14.docx Watch the 10 hour video version of `` The Zionist Attack on Western Civilization '' @ http://trutube.tv/video/14247/The-Zionist-Attack-on-Western-Civilization-Pages-1-33-Part-1-of-4-Banned-from-YouTubeNotepadPromotionalYouTubeComment:http://www.mediafire.com/download/96fg6ft02lyfruz/Booklet _ White _ YT _ Comment _ ( Hyperlinked ) .txt http://www.mediafire.com/download/zcn3wozjbwnezms/Booklet-White-YT-Comment- ( Hyperlinked-Back-Up % 5D.txt http://www.mediafire.com/download/9uyudq1yuxu1dur/Booklet+Comment+%28Firefox%29.txt2minutepromotionalBOOKLETvideo@http://www.youtube.com/watch ? v = _ 8hg254ALpM Are you interested in helping spread the booklet download link across the world ?,0
Then why not simply copy this text ( & links ) and paste it into the description box of your YouTube videos ?,0
Thank you in advance. : ) Download the youtube `` description box '' info text file below @ http://www.mediafire.com/download/dqhn1czprr17o21/Booklet-Description-Box _ Info.txt,0
The whites are more in the range of 4.8 million .,0
I believe this can be higher since I 've read reports that especially whites in the Free State were not counted in the latest census .,0
Thank you for posting your story .,0
I think you should write a book as well .,0
"I 've always considered teaching as one of the professions I would like to get into , but not in a neighbourhood like that ... never. kids like that disgust me .",1
And the sad thing is the white students at those schools will act like that too .,1
"I guess I 'll just stick to homeschooling my kids , when and if I have them ...",0
Randy Blazak is an `` expert '' all right--he teaches `` Sociology of Star Trek '' --a credited class students actually pay for .,0
No wonder young people ca n't get jobs .,0
They take underwater basket weaving courses and they have no worthwhile skills on account of angry still my favorite comment .,0
Their gods often had pale skin and blue eyes but I suppose literacy is n't valued highly by their cultural intelligencia .,1
When the girl starts talking the guy in the middles lips start moving .,0
"He was checking her lines , bad actors ca n't help themselves from doing this .",0
This whole situation starts to become really bizarre .,0
I was a Right Sector supporter but it starts to sound as if they are in fact just Israeli agents ......,0
I do n't know who to support anymore ................,0
Greece need a man like Adolf Hitler and now is the perfect time to start a national political movement to free Your country from the zionist bankers,1
The image below is for the First Week of March 2011. freeman in court - judge bows to Sovereign - Canada YouTube - freeman in court - judge bows to Sovereign - Canada,0
I do n't watch T.V. or Hollywood movies .,0
I know of Chris Rock and subsequently have hated him for a long time .,0
He is a pathetic little chimp .,1
Declaring war on the innocent White Population of any nation could easily be justified by anyone who was not a White Nationalist .,0
